song,album,track no.,track length,feature,feature
Safe House,Luv Is Rage,1,3:56,,
Banned from TV,Luv Is Rage,2,2:57,,
Super Saiyan,Luv Is Rage,3,2:27,,
7AM,Luv Is Rage,4,3:40,,
Yamborghini Dream,Luv Is Rage,5,3:48,Young Thug,
Right Now,Luv Is Rage,6,3:48,,
Top,Luv Is Rage,7,3:56,,
All My Chains,Luv Is Rage,8,3:29,,
Belly,Luv Is Rage,9,3:38,,
Enemies,Luv Is Rage,10,4:08,,
Ballin,Luv Is Rage,11,4:38,,
Paradise,Luv Is Rage,12,2:53,,
Canadian Goose,Lil Uzi Vert Vs. The World,1,3:38,,
Hi Roller,Lil Uzi Vert Vs. The World,2,4:36,,
Money Longer,Lil Uzi Vert Vs. The World,3,3:19,,
Grab the Wheel,Lil Uzi Vert Vs. The World,4,4:56,,
You Was Right,Lil Uzi Vert Vs. The World,5,2:44,,
Baby Are You Home,Lil Uzi Vert Vs. The World,6,3:50,,
Ps & Qs,Lil Uzi Vert Vs. The World,7,3:42,,
Team Rocket,Lil Uzi Vert Vs. The World,8,3:26,,
Scott and Ramona,Lil Uzi Vert Vs. The World,9,3:41,,
Do What I Want,The Perfect LUV Tape,1,2:55,,
Of Course We Ghetto Flowers,The Perfect LUV Tape,2,4:22,"Playboi Carti, Offset",
Original Uzi (4 of Us),The Perfect LUV Tape,3,2:47,,
Money Mitch,The Perfect LUV Tape,4,4:07,,
SideLine Watching (Hold Up),The Perfect LUV Tape,5,3:11,,
I Can Drive,The Perfect LUV Tape,6,2:34,,
You're Lost,The Perfect LUV Tape,7,2:39,,
Erase Your Social,The Perfect LUV Tape,8,3:20,,
Ronda (Winners),The Perfect LUV Tape,9,3:36,,
Seven Million,The Perfect LUV Tape,10,3:02,Future,
Two,Luv Is Rage 2,1,3:05,,
444+222,Luv Is Rage 2,2,4:07,,
Sauce It Up,Luv Is Rage 2,3,3:27,,
No Sleep Leak,Luv Is Rage 2,4,3:09,,
The Way Life Goes,Luv Is Rage 2,5,3:42,Oh Wonder,
For Real,Luv Is Rage 2,6,2:57,,
Feelings Mutual,Luv Is Rage 2,7,3:54,,
Neon Guts,Luv Is Rage 2,8,4:19,Pharrell Williams,
Early 20 Rager,Luv Is Rage 2,9,4:35,,
UnFazed,Luv Is Rage 2,10,3:10,The Weeknd,
Pretty Mami,Luv Is Rage 2,11,4:24,,
How to Talk,Luv Is Rage 2,12,3:22,,
X,Luv Is Rage 2,13,2:54,,
Malfunction,Luv Is Rage 2,14,3:19,,
Dark Queen,Luv Is Rage 2,15,2:53,,
XO TOUR Llif3,Luv Is Rage 2,16,3:03,,
Skir Skirr,Luv Is Rage 2,17,3:02,,
Loaded,Luv Is Rage 2,18,3:39,,
Diamonds All on My Wrist,Luv Is Rage 2,19,2:50,,
20 Min,Luv Is Rage 2,20,3:41,,
Baby Pluto,Eternal Atake,1,3:30,,
Lo Mein,Eternal Atake,2,3:15,,
Silly Watch,Eternal Atake,3,3:16,,
POP,Eternal Atake,4,3:47,,
You Better Move,Eternal Atake,5,3:17,,
Homecoming,Eternal Atake,6,3:34,,
I'm Sorry,Eternal Atake,7,3:32,,
Celebration Station,Eternal Atake,8,3:15,,
Bigger Than Life,Eternal Atake,9,3:13,,
Chrome Heart Tags,Eternal Atake,10,3:33,,
Bust Me,Eternal Atake,11,3:14,,
Prices,Eternal Atake,12,3:53,,
